Time (seconds),Acceleration (Frontal) [G],Acceleration (Vertical) [G],Acceleration (Lateral) [G],Sensor ID,RSSI (Received Signal Strength Indicator),Phase,Frequency,Activity Label,Room
0.0,0.27203,1.0082,-0.082102,1,-63.5,2.4252,924.25,1,S1
0.5,0.27203,1.0082,-0.082102,1,-63.0,4.7369,921.75,1,S1
1.5,0.44791,0.91636,-0.013684,1,-63.5,3.0311,923.75,1,S1
1.75,0.44791,0.91636,-0.013684,1,-63.0,2.0371,921.25,1,S1
2.5,0.34238,0.96229,-0.059296,1,-63.5,5.892,920.25,1,S1
3.25,0.34238,0.96229,-0.059296,4,-56.5,1.2563,924.75,1,S1
4.0,0.30721,0.99674,-0.070699,1,-63.5,3.8718,922.75,1,S1
5.0,0.27203,0.99674,-0.093505,1,-64.0,2.4943,924.25,1,S1
5.5,0.23685,1.0312,-0.12771,1,-64.5,2.008,924.75,1,S1
6.0,0.23685,1.0312,-0.12771,1,-66.0,1.1904,925.75,1,S1
6.5,0.23685,1.0312,-0.12771,1,-63.0,0.61206,922.75,1,S1
6.75,0.23685,1.0312,-0.12771,1,-65.0,1.6506,925.25,1,S1
7.75,0.31893,0.99674,-0.070699,1,-62.0,4.8075,921.75,1,S1
8.0,0.31893,0.99674,-0.070699,4,-56.5,4.5252,924.75,1,S1
9.0,0.47136,0.92784,-0.0022806,1,-62.5,3.8135,922.75,1,S1
9.75,0.40101,0.93932,-0.025087,1,-64.0,2.413,924.25,1,S1
10.0,0.40101,0.93932,-0.025087,1,-62.5,1.5309,921.75,1,S1
10.5,0.40101,0.93932,-0.025087,1,-64.5,5.2247,924.75,1,S1
10.75,0.40101,0.93932,-0.025087,4,-58.0,0.50468,925.75,1,S1
12.0,0.30721,0.99674,-0.070699,1,-64.0,2.462,924.25,1,S1
12.5,0.30721,0.99674,-0.070699,1,-63.0,5.9089,920.25,1,S1
13.0,0.30721,0.99674,-0.070699,1,-64.0,1.9926,924.75,1,S1
14.0,0.41273,0.93932,-0.0022806,1,-62.0,1.9221,921.25,1,S1
15.25,0.27203,1.0082,-0.10491,4,-57.0,1.3714,924.75,1,S1
15.5,0.27203,1.0082,-0.10491,1,-62.0,1.0845,922.25,1,S1
16.5,0.24858,1.0312,-0.093505,1,-65.0,4.5697,925.25,1,S1
17.5,0.2603,1.0197,-0.10491,1,-62.5,1.5064,921.75,1,S1
18.5,0.31893,0.99674,-0.070699,1,-64.0,5.9963,923.75,1,S1
18.75,0.31893,0.99674,-0.070699,1,-62.0,1.9205,921.25,1,S1
19.25,0.31893,0.99674,-0.070699,1,-62.5,2.2764,920.75,1,S1
20.0,0.43619,0.91636,0.0091224,1,-63.0,6.2663,923.25,1,S1
21.0,0.47136,0.92784,0.020525,1,-64.0,2.8532,923.75,1,S1
22.75,0.2134,1.0312,-0.12771,1,-64.5,4.9087,924.75,1,S1
23.0,0.2134,1.0312,-0.12771,4,-57.5,0.54763,925.75,1,S1
23.25,0.2134,1.0312,-0.12771,1,-63.5,5.7724,923.75,1,S1
24.5,0.23685,1.0197,-0.10491,1,-62.5,5.6635,920.25,1,S1
26.25,0.23685,1.0197,-0.10491,1,-62.0,4.8934,921.25,1,S1
27.75,0.20168,1.0312,-0.11631,1,-62.5,0.84522,922.25,1,S1
28.5,0.50654,0.91636,0.020525,1,-62.5,1.7518,921.25,1,S1
29.0,0.50654,0.91636,0.020525,1,-62.0,5.3214,920.75,1,S1
29.5,0.50654,0.91636,0.020525,1,-62.5,2.5541,920.25,1,S1
29.75,0.50654,0.91636,0.020525,1,-63.0,6.2341,923.25,1,S1
30.5,0.42446,0.91636,-0.0022806,1,-59.5,0.20555,923.75,1,S1
30.75,0.42446,0.91636,-0.0022806,1,-58.5,1.2809,922.75,1,S1
31.75,0.24858,1.0082,-0.16192,1,-59.5,6.2004,920.25,1,S1
32.5,0.34238,0.97377,-0.047893,1,-59.5,1.3867,922.25,1,S1
33.0,0.34238,0.97377,-0.047893,1,-61.5,6.2387,923.75,1,S1
33.5,0.30721,0.97377,-0.03649,1,-63.0,1.7671,925.25,1,S1
34.0,0.15478,1.0197,-0.13912,1,-61.5,2.6323,924.25,1,S1
34.5,0.15478,1.0197,-0.13912,1,-60.0,1.8024,921.75,1,S1
35.5,0.56517,0.87042,0.11175,4,-57.0,4.5636,923.75,1,S1
35.6,0.56517,0.87042,0.11175,3,-57.0,6.0377,922.75,1,S1
35.75,0.56517,0.87042,0.11175,1,-65.5,4.5437,922.75,1,S1
36.25,0.56517,0.87042,0.11175,4,-60.0,4.5789,920.75,1,S1
37.0,0.56517,0.87042,0.11175,1,-58.5,1.985,921.75,1,S1
37.75,1.0694,0.29627,-0.013684,4,-67.0,1.0324,925.75,3,S1
38.0,1.0694,0.29627,-0.013684,3,-50.0,5.0928,923.75,3,S1
38.1,1.0694,0.29627,-0.013684,4,-67.0,5.7984,923.75,3,S1
38.5,0.82312,-0.071196,-0.10491,3,-53.0,0.47707,925.25,3,S1
38.75,1.0576,-0.28938,-0.03649,3,-50.5,0.046019,920.75,3,S1
38.85,1.0576,-0.28938,-0.03649,3,-52.0,0.9434,924.25,3,S1
39.25,1.1632,-0.27789,-0.059296,3,-50.5,5.6159,921.75,3,S1
39.35,1.1632,-0.27789,-0.059296,4,-64.5,1.6858,921.75,3,S1
39.75,0.9052,-0.20899,-0.15052,4,-67.5,4.5989,924.75,3,S1
40.25,1.1397,-0.27789,-0.070699,3,-51.5,1.0907,923.75,3,S1
40.5,0.92865,-0.19751,-0.16192,4,-65.5,0.37583,922.75,3,S1
41.5,0.91693,-0.19751,-0.16192,3,-50.0,0.13652,920.25,3,S1
41.6,0.91693,-0.19751,-0.16192,4,-66.5,6.0822,920.25,3,S1
42.0,1.3156,-0.34679,-0.013684,3,-51.0,4.4915,923.25,3,S1
42.25,0.9052,-0.19751,-0.16192,4,-68.0,1.2947,924.75,3,S1
42.5,0.9052,-0.19751,-0.16192,4,-65.5,0.80687,922.25,3,S1
43.0,1.2452,-0.34679,-0.025087,3,-50.5,4.7615,922.75,3,S1
43.1,1.2452,-0.34679,-0.025087,3,-50.5,4.7691,922.75,3,S1
43.25,0.87003,-0.19751,-0.17333,3,-50.5,5.7264,921.25,3,S1
43.35,0.87003,-0.19751,-0.17333,4,-65.5,1.8929,921.25,3,S1
